"id" "sex" "dead" "cens" "xli" "xti" "loc" "potEm" "im" "unsex" "outMigr"
112 "m" 0 0 1.05 0 "s" 1 0 0 0
113 "m" 0 0 10.89 0 "s" 1 0 0 0
114 "f" 0 0 7.94 0 "s" 0 0 0 0
115 "f" 0 0 12.9 0 "s" 0 0 0 0
116 "f" 0 0 0.06 0 "s" 0 0 0 0
117 "m" 0 0 0.58 0 "s" 1 0 0 0
118 "f" 0 0 13.64 0 "s" 0 0 0 0
119 "f" 0 0 4.95 0 "s" 0 0 0 0
120 "f" 0 0 1.29 0 "s" 0 0 0 0
121 "f" 0 0 2.05 0 "s" 0 0 0 0
122 "m" 0 0 5.67 0 "s" 1 0 0 0
123 "m" 0 0 11.63 0 "s" 1 0 0 0
124 "f" 0 0 11.39 0 "s" 0 0 0 0
125 "f" 0 0 9.55 0 "s" 0 0 0 0
126 "f" 0 0 7.26 0 "s" 0 0 0 0
127 "f" 0 0 7.2 0 "s" 0 0 0 0
128 "m" 0 0 9.67 0 "s" 1 0 0 0
129 "f" 0 0 10.17 0 "s" 0 0 0 0
130 "m" 0 0 1.75 0 "s" 1 0 0 0
131 "f" 1 0 0.63 0 "s" 0 0 0 0
132 "f" 1 0 0.63 0 "s" 0 0 0 0
133 "f" 1 0 0.19 0 "s" 0 0 0 0
134 "f" 1 0 0.19 0 "s" 0 0 0 0
135 "f" 1 0 0.19 0 "s" 0 0 0 0
136 "m" 1 0 1.05 0 "s" 0 0 0 1
137 "m" 1 0 1.05 0 "s" 0 0 0 1
138 "m" 1 0 0.82 0 "s" 0 0 0 0
139 "m" 1 0 2.13 0 "s" 0 0 0 1
140 "f" 1 0 8.68 0 "s" 0 0 0 0
141 "f" 1 0 7.53 0 "s" 0 0 0 0
142 "f" 1 0 15.87 0 "s" 0 0 0 0
143 "f" 1 0 9.34 0 "s" 0 0 0 0
144 "m" 1 0 0.02 0 "s" 0 0 0 0
145 "f" 1 0 0.02 0 "s" 0 0 0 0
146 "f" 1 0 9.34 4.75 "s" 0 0 0 0
147 "m" 1 0 11.43 0 "s" 0 0 0 1
148 "m" 1 0 12.64 7 "s" 0 1 0 1
149 "f" 1 0 4.03 0 "s" 0 0 0 0
150 "f" 1 0 6.95 0 "s" 0 0 0 0
151 "f" 1 0 8.21 0 "s" 0 0 0 0
152 "f" 1 0 4.42 0 "s" 0 0 0 0
153 "f" 1 0 13.29 0 "s" 0 0 0 0
154 "f" 1 0 13.73 0 "s" 0 0 0 0
155 "f" 1 0 1.44 0 "s" 0 0 0 0
156 "f" 1 0 12.15 0 "s" 0 0 0 0
157 "f" 1 0 13.58 0 "s" 0 0 0 0
158 "f" 1 0 12.85 0 "s" 0 0 0 0
159 "u" 1 0 0.06 0 "s" 0 0 1 0
160 "u" 1 0 0.06 0 "s" 0 0 1 0
161 "f" 1 0 13.34 0 "s" 0 0 0 0
162 "m" 1 0 2.6 0 "s" 0 0 0 0
163 "f" 1 0 10.74 0 "s" 0 0 0 0
164 "f" 1 0 15.2 0 "s" 0 0 0 0
165 "f" 1 0 10.96 0 "s" 0 0 0 0
166 "m" 1 0 8.85 5.52 "s" 0 1 0 0
167 "f" 1 0 4.07 0 "s" 0 0 0 0
168 "m" 1 0 1.62 0 "s" 0 0 0 0
169 "u" 1 0 0.11 0 "s" 0 0 1 0
170 "u" 1 0 0.11 0 "s" 0 0 1 0
171 "f" 1 0 9.83 0 "s" 0 0 0 0
172 "f" 1 0 9.49 0 "s" 0 0 0 0
173 "f" 1 0 16.89 0 "s" 0 0 0 0
174 "f" 1 0 7.52 0 "s" 0 0 0 0
175 "f" 1 0 11.88 0 "s" 0 0 0 0
176 "f" 1 0 1.72 0 "s" 0 0 0 0
177 "f" 1 0 0.39 0 "s" 0 0 0 0
178 "f" 1 0 8.26 0 "s" 0 0 0 0
179 "f" 1 0 13.92 7.3 "s" 0 0 0 0
180 "f" 1 0 11.64 4 "s" 0 0 0 0
181 "f" 1 0 11.69 4 "s" 0 0 0 0
182 "m" 1 0 9.31 2.4 "s" 0 1 0 0
183 "m" 1 0 6.19 3.89 "s" 0 1 0 0
184 "m" 1 0 12.22 2.71 "s" 0 1 0 0
185 "m" 1 0 10.65 9.22 "s" 0 1 0 0
186 "m" 1 0 10.85 4.16 "s" 0 1 0 0
187 "f" 1 0 9.34 0 "s" 0 0 0 0
188 "m" 1 0 7.17 5.75 "s" 0 1 0 0
189 "m" 1 0 0.35 0 "s" 0 0 0 0
190 "m" 0 0 9.28 1.21 "s" 0 1 0 0
191 "m" 0 0 12.48 1.21 "s" 0 1 0 0
192 "m" 0 0 11.96 1.21 "s" 0 1 0 0
193 "m" 0 0 12.07 1.21 "s" 0 1 0 0
194 "m" 0 0 0.95 0 "s" 1 0 0 0
195 "m" 0 0 0.95 0 "s" 1 0 0 0
196 "m" 0 0 5.16 0 "s" 1 0 0 0
197 "m" 0 0 0.96 0 "s" 1 0 0 0
198 "m" 0 0 6.88 5.56 "s" 0 1 0 0
199 "m" 0 0 6.12 5.39 "s" 0 1 0 0
200 "m" 0 0 9.4 3.95 "s" 0 1 0 0
201 "m" 0 0 0.42 0 "s" 1 0 0 0
202 "m" 0 0 0.42 0 "s" 1 0 0 0
203 "m" 0 0 0.2 0 "s" 1 0 0 0
204 "m" 0 0 9.83 4.98 "s" 0 1 0 0
205 "m" 0 1 7.58 3.9 "s" 0 1 0 0
206 "m" 0 0 7.98 7.86 "s" 0 1 0 0
207 "m" 0 0 12.04 9.29 "s" 0 1 0 0
208 "m" 0 0 9.5 0 "s" 1 0 0 1
209 "m" 0 0 9.29 0 "s" 1 0 0 0
210 "m" 0 0 10.41 0 "s" 1 0 0 0
211 "m" 0 0 7.33 6 "s" 0 1 0 0
212 "m" 0 0 9.85 2.04 "s" 0 1 0 0
213 "m" 0 0 11.1 2.04 "s" 0 1 0 0
214 "m" 0 0 8.96 2.04 "s" 0 1 0 0
215 "m" 0 0 12.64 2.04 "s" 0 1 0 0
216 "m" 0 0 5.03 4.24 "s" 0 1 0 0
217 "m" 0 0 9.94 8.47 "s" 0 1 0 0
218 "m" 0 0 8.35 7.5 "s" 0 1 0 0
219 "m" 0 0 5.61 5.61 "s" 0 1 0 1
220 "m" 0 0 2.49 0 "s" 1 0 0 1
221 "m" 0 0 2.49 0 "s" 1 0 0 1
222 "m" 0 0 8.7 0 "s" 1 0 0 0
223 "m" 0 0 0.47 0 "s" 1 0 0 0
224 "m" 0 0 0.33 0 "s" 1 0 0 0
